Hash;Publication Date;Title;Description;Link
be98c88718827dc55a858211afbb0a42;Sep 22, 2020;Are Estimates Ever Helpful to Developers?;Team members often think estimates are only useful for stakeholders and managers. Here’s how they …;https://www.mountaingoatsoftware.com/blog/are-estimates-ever-helpful-to-developers
9dcc9f05a53e8ca4df07fbb8076a60c0;Sep 08, 2020;Use a Pre-Mortem to Identify Project Risks Before They Occur;Talking about problems after they occur is too late. A pre-mortem can help a team avoid problems. ;https://www.mountaingoatsoftware.com/blog/use-a-pre-mortem-to-identify-project-risks-before-they-occur
d370307c21b3e865d72234bc8870d64e;Date is not found!;Can There Be Too Much Transparency?;Description is not found!;https://www.mountaingoatsoftware.com/blog/can-there-be-too-much-transparency
48cbe685dd43bfb37cf7ceacb1394463;Aug 11, 2020;Is 2020 a Gold Rush Year for New Scrum Masters?;Scrum Master jobs are on the rise and so are their salaries. But is everything as it seems?;https://www.mountaingoatsoftware.com/blog/is-2020-a-gold-rush-year-for-new-scrum-masters
6775f66c59f5fef15ecafccbf8ba940f;Date is not found!;Is the Distinction Between Outcomes and Output Overdone?;Description is not found!;https://www.mountaingoatsoftware.com/blog/is-the-distinction-between-outcomes-and-output-overdone
528f75c70cb90bb1518a47b9e27570f9;Jul 14, 2020;Story Points, Handling Multiple Teams, and More. Answering Your Questions;In this post I share 5 highlights from my Facebook Live session with Brian Milner.;https://www.mountaingoatsoftware.com/blog/story-points-handling-multiple-teams-and-more-answering-your-questions
3d265f1d625557c26159f74428088b15;Jun 30, 2020;How Should Agile Teams Deal with Leaders Who Won’t Listen?;Today, Certified Scrum Trainer Scott Dunn shares his insights about the pain felt when leadership …;https://www.mountaingoatsoftware.com/blog/how-should-agile-teams-deal-with-leaders-who-wont-listen
4ab97dd9c0db0375d833e1ad3533783e;Jun 16, 2020;Using Tripwires when Making Decisions;After making one decision, it can be helpful to make the next decision or two at the same time.;https://www.mountaingoatsoftware.com/blog/using-tripwires-when-making-decisions
50351b143cbb1a64edeb6593461b96fa;Jun 02, 2020;Can a Team Vote Someone Off the Team?;We say agile teams are self-organizing. Does that mean they have the right to vote someone off?;https://www.mountaingoatsoftware.com/blog/can-a-team-vote-someone-off-the-team
d77149404647a33cddd6925223107c20;May 19, 2020;[VIDEO] What does a virtual certified scrum course look like?;Our virtual Certified Scrum courses aren’t tedious 16-hour Zoom snoozefests. This video shows what …;https://www.mountaingoatsoftware.com/blog/video-what-does-a-virtual-certified-scrum-course-look-like
40a1479be7366165a69a06269b06e9ad;Date is not found!;Introducing a New Era at Mountain Goat Software;Description is not found!;https://www.mountaingoatsoftware.com/blog/introducing-a-new-era-at-mountain-goat-software
2cbfbcc36eaacbf29cfac35d09175e0e;May 05, 2020;Time Pressure Improves Productivity & Quality…Up to a Point;Time pressure improves productivity & quality…up to a point. Learn how short iterations and …;https://www.mountaingoatsoftware.com/blog/time-pressure-improves-productivity-qualityup-to-a-point
b71eed8890ff5aa2439fc2d7f1dfbe1b;Apr 14, 2020;Overcoming Four Common Problems with Retrospectives;Boring retrospectives or ones in which people are afraid to speak the truth are just two of the …;https://www.mountaingoatsoftware.com/blog/overcoming-four-common-problems-with-retrospectives
ef8330a4c492dcded4ce19ca38283846;Apr 01, 2020;Announcing Scrum Prime;If you really want to speed up your team, sign up now for Scrum Prime and have everything delivered …;https://www.mountaingoatsoftware.com/blog/announcing-scrum-prime
1700c0cad7d063f29fcc01a2c75bdc11;Mar 18, 2020;Time-Sensitive Announcement: March 23rd-26th Virtual Certified ScrumMaster® with Mike Cohn now …;Due to the coronavirus outbreak preventing some people from attending live classes I will be …;https://www.mountaingoatsoftware.com/blog/time-sensitive-announcement-march-23rd-26th-virtual-certified-scrummaster-with-mike-cohn-now-open-for-registration
de2867c70b927f5a87f719974ba174a8;Mar 17, 2020;Why Scrum Is Better than Anything You’ll Find at the End of a Rainbow;St. Patrick drove the snakes out of Ireland. What would you like to drive out of your agile process?;https://www.mountaingoatsoftware.com/blog/why-scrum-is-better-than-anything-youll-find-at-the-end-of-a-rainbow
1ee83e759c91e0ff0b53e1d0e33888aa;Mar 03, 2020;How to Estimate Story Points With Multiple Teams;Establishing a common baseline allows multiple teams to estimate consistently with story points.;https://www.mountaingoatsoftware.com/blog/how-to-estimate-story-points-with-multiple-teams
9782167d693cfaf9887e8af6916bc39c;Feb 18, 2020;Agile challenges and opportunities in 2020, what do you think?;Certified Scrum Trainer Lance Dacy and I discuss some trends we’re noticing and ponder the future …;https://www.mountaingoatsoftware.com/blog/agile-challenges-and-opportunities-in-2020-what-do-you-think
4236a20dc7ae2139c130db67aed9b800;Feb 04, 2020;4 Steps to Persuade a Product Owner to Prioritize Refactoring;Teams often struggle to persuade their product owners to prioritize refactoring. This simple …;https://www.mountaingoatsoftware.com/blog/4-steps-to-persuade-a-product-owner-to-prioritize-refactoring
3327e634a93f8ea314f2efbd7fb12b19;Jan 21, 2020;25 Questions that Will Help You Know Your Teammates Better;One of the benefits of being on a team is the friendships you can make with your teammates. Many of …;https://www.mountaingoatsoftware.com/blog/25-questions-that-will-help-you-know-your-teammates-better
5217d8a65591f38f885e4328a54518a9;Jan 07, 2020;My Most Popular Blog Posts from 2019;I wrote 24 blog posts during 2019. In case you missed some of them, here are the most popular.;https://www.mountaingoatsoftware.com/blog/my-most-popular-blog-posts-from-2019
1bf066d6e9bd19f06458c397ecdbfa26;Dec 17, 2019;What I Want for an Agile Christmas;It’s coming on Christmas. That time of year when I drop hints to my family about gifts I’d like.;https://www.mountaingoatsoftware.com/blog/what-i-want-for-an-agile-christmas
05c3d4bae263bdcb8e8d5bbdb3b1c19c;Dec 03, 2019;Seven Tips on How to Get Your First Scrum Master Job;Being a Scrum Master can be a rewarding and fun career but how do you get that first  Scrum Master …;https://www.mountaingoatsoftware.com/blog/seven-tips-on-how-to-get-your-first-scrum-master-job
3de814eee2e1721abaeffd557056729f;Nov 12, 2019;Ten Tips for More Effective Daily Scrums;In a recent weekly tip, I offered six tips on making the daily scrum more useful but I couldn't …;https://www.mountaingoatsoftware.com/blog/ten-tips-for-more-effective-daily-scrums
b5b7ff6485b2ea0a0be29d26daffd449;Oct 29, 2019;Job Stories Offer a Viable Alternative to User Stories;As useful as user stories can be, they’ve never been right for every team. An exciting alternative …;https://www.mountaingoatsoftware.com/blog/job-stories-offer-a-viable-alternative-to-user-stories
acf2196f2c4a5290619f2c04269893b7;Oct 15, 2019;Six Things Your Team Wants from You as Their Product Owner;Being a great product owner is hard. Here are the things your team wants from you to help them do …;https://www.mountaingoatsoftware.com/blog/six-things-your-team-wants-from-you-as-their-product-owner
c00c493d80347b296827f50280d4e05e;Oct 09, 2019;Doors Now Open to Starting Kanban;Want to learn about Kanban? Here’s a complete guide to introducing Kanban into your organization.;https://www.mountaingoatsoftware.com/blog/doors-now-open-to-starting-kanban
622b9278a7930f7aa928fce638e7828f;Oct 08, 2019;Free Kanban Video Training: Curing The Stale Stand Up;Lack of communication is a common problem that causes delays, rework, or adds risk. See how Kanban …;https://www.mountaingoatsoftware.com/blog/free-kanban-video-training-curing-the-stale-stand-up
d431840ac664a716ad90d196f968e95e;Oct 03, 2019;Free Kanban Video Training: Setting WIP Limits;It’s easy to say you limit how much work you’ll have in process. It’s harder to live up to it, …;https://www.mountaingoatsoftware.com/blog/free-kanban-video-training-setting-wip-limits
e230899b2b9cc0914c68f58e5a115c0c;Oct 01, 2019;Increase Your Agile Toolset With This FREE Kanban Video Training;You told me you have questions about Kanban. Here are some answers from Kanban expert, Brendan Wovchko.;https://www.mountaingoatsoftware.com/blog/increase-your-agile-toolset-with-this-free-kanban-video-training
b72ab97fd6382f92f92edb55c0946369;Sep 24, 2019;Is It Time to Do Away with Scrum’s Product Owner Role;Scrum has only three official roles: Scrum Master, product owner, and team member. No distinction …;https://www.mountaingoatsoftware.com/blog/is-it-time-to-do-away-with-scrums-product-owner-role
7ea15c53621457fbf9f2a1a646b2d92d;Sep 10, 2019;Why the Fibonacci Sequence Works Well for Estimating;If you’ve estimated with Planning Poker, you may very well have used cards with either the …;https://www.mountaingoatsoftware.com/blog/why-the-fibonacci-sequence-works-well-for-estimating
e1ef3456ce6833014064f121afd8cb3e;Aug 27, 2019;Why you should consider stopping sprint reviews;For many teams, the sprint review has run its course and it’s time to stop doing them.;https://www.mountaingoatsoftware.com/blog/why-you-should-consider-stopping-sprint-reviews
e98448b7a76a85142d9482ab8895f92e;Aug 13, 2019;Managing Sprint Interruptions by Tracking Buffer Use;In an ideal world, a Scrum team could perform the work of its sprints entirely uninterrupted. …;https://www.mountaingoatsoftware.com/blog/managing-sprint-interruptions-by-tracking-buffer-use
ff090d126a63c2162f11b854bdcdab59;Jul 30, 2019;Overcoming Four Common Objections to the Daily Scrum;Do Scrum long enough and someone will suggest stopping the daily scrums. Here’s how to reply.;https://www.mountaingoatsoftware.com/blog/overcoming-four-common-objections-to-the-daily-scrum
03c4d62f59c45d7eae64761f191014f5;Jul 16, 2019;Story Point Estimates Are Best Thought of as Ranges;When estimating in story points, teams should think in terms of ranges and rounding up. Here’s why.;https://www.mountaingoatsoftware.com/blog/story-point-estimates-are-best-thought-of-as-ranges
b22bc05b360bae92d759718269734b54;Jun 25, 2019;Five Reasons Why Batman Would Be a Great Scrum Master;Batman would make the perfect Scrum Master. Once he eliminates crime in Gotham City, I plan on …;https://www.mountaingoatsoftware.com/blog/five-reasons-why-batman-would-be-a-great-scrum-master
6ec4818b52ca13e0639a12b0c3f57421;Jun 11, 2019;Four Questions to Fix Low Attendance at Your Sprint Reviews;It can sometimes be a challenge to get people to attend and then participate in sprint reviews. …;https://www.mountaingoatsoftware.com/blog/four-questions-to-fix-low-attendance-at-your-sprint-reviews
731ba7a5d194837389eed9ef1f727d58;May 28, 2019;Why the Three-Part User Story Template Works So Well;The standard “As a...I...so that…” user story template has stood the test of time. Here’s why each …;https://www.mountaingoatsoftware.com/blog/why-the-three-part-user-story-template-works-so-well
0606952fdcea3fb0381cf06082a7ef92;May 14, 2019;Six Things Your Team Wants from You as Their Scrum Master;From helping teams understand the boundaries of self organization to creating safety around things …;https://www.mountaingoatsoftware.com/blog/six-things-your-team-wants-from-you-as-their-scrum-master
bc5da2d1abe5235b96c7e9c98b5ffcfa;Apr 30, 2019;Your Team Won’t Think of Everything in Sprint Planning Meetings. And That’s OK.;Your team is probably spending too much time in sprint planning meetings. Here’s how to spend less …;https://www.mountaingoatsoftware.com/blog/your-team-wont-think-of-everything-in-sprint-planning-meetings-and-thats-ok
8a25c44f345e1fc79ae86ff5be773b2c;Apr 16, 2019;When Kanban is the Better Choice;Debating between Scrum and Kanban? Guest author Brendan Wovchko offers five advantages Kanban has …;https://www.mountaingoatsoftware.com/blog/when-kanban-is-the-better-choice
432a87d44fcc2718a86a9e30166297df;Apr 09, 2019;Organizations that Work on Fewer Projects at a Time Get More Done;Most individuals know that multitasking slows us down. It has an equally negative effect on agile …;https://www.mountaingoatsoftware.com/blog/organizations-that-work-on-fewer-projects-at-a-time-get-more-done
a295dbf9afa9720cc205553d88914014;Apr 01, 2019;Announcing Online Dating Just for Scrum Masters and Product Owners;Announcing the world’s only dating website for Scrum Masters and product owners.;https://www.mountaingoatsoftware.com/blog/announcing-online-dating-just-for-scrum-masters-and-product-owners
7244603679ce9a277a749c8e2847391b;Mar 19, 2019;An Agile Team Shouldn’t Finish Everything Every Iteration;Too often, agile teams are expected to finish everything every iteration. This expectation is …;https://www.mountaingoatsoftware.com/blog/an-agile-team-shouldnt-finish-everything-every-iteration
709bebdda9b9c9777fa761658138e223;Mar 05, 2019;Four Steps to Keep Your Product Backlog Small and Manageable;When a product backlog becomes too big, it hinders agility. Discover four steps your team can take …;https://www.mountaingoatsoftware.com/blog/four-steps-to-keep-your-product-backlog-small-and-manageable
bce413995ccd79bbee295c5fb2e7023a;Feb 19, 2019;Six Agile Product Development Myths - Busted;Pervasive myths about agile get in the way of success. It’s time to bust six of those myths.;https://www.mountaingoatsoftware.com/blog/six-agile-product-development-myths-busted
ce455dcde19c34a99cf5daa5d1f4229c;Jan 29, 2019;Why Agile Teams Put So Much Emphasis on Being Done Each Iteration;Agile teams strive to finish work in the same iteration in which its begun. Here’s why that is so …;https://www.mountaingoatsoftware.com/blog/why-agile-teams-put-so-much-emphasis-on-being-done-each-iteration
53ae5490bed2163729793d4b5c383bcc;Jan 08, 2019;My Most Popular Blog Posts from 2018;I wrote 25 blog posts during 2018. In case you missed some of them, here are the most popular.;https://www.mountaingoatsoftware.com/blog/my-most-popular-blog-posts-from-2018
efa92a2d108a9e91343a8fb215f3f23b;Dec 11, 2018;Incorporating Governance or Oversight into an Agile Project;Description is not found!;https://www.mountaingoatsoftware.com/blog/incorporating-governance-or-oversight-into-an-agile-project
52f4d52db19a4effcbaf5eef87d739e5;Nov 27, 2018;Three Approaches to Estimating the Impact of Holidays and Time Off on Velocity;Velocity can be great for predicting how much a team can deliver in a given period. But it needs to …;https://www.mountaingoatsoftware.com/blog/three-approaches-to-estimating-impact-of-holidays-and-time-off-on-velocity
5f510a5ea7fd9a4eabac985368699825;Nov 13, 2018;Get Your Free Personalized Guide to Agile;Succeeding with agile isn’t just about knowing where to start, it’s about knowing where to go …;https://www.mountaingoatsoftware.com/blog/get-your-free-personalized-guide-to-agile
38c305af23d1b5749269fb64effd949c;Nov 06, 2018;How to Work with Complex User Stories That Cannot Be Split;Here’s what to do when facing a complex user story that cannot be split but is too large for one …;https://www.mountaingoatsoftware.com/blog/how-to-work-with-complex-user-stories-that-cannot-be-split
8b0542a93f8b986056168cfae616aff8;Oct 23, 2018;Three Questions to Determine If an Organization Is Agile;A lot of organizations claim to be agile. Here’s a quick way to see if they really are.;https://www.mountaingoatsoftware.com/blog/three-questions-to-determine-if-an-organization-is-agile
c49074fa7b7eb139db23b3b007c25e27;Oct 09, 2018;Advice on Conducting Agile Project Kickoff Meetings;Traditionally managed projects begin with a kickoff meeting. Here’s why and how agile projects can …;https://www.mountaingoatsoftware.com/blog/advice-on-conducting-agile-project-kickoff-meetings
